movie_id,index,title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime
674503,26,Walking Dead: Tomate,2022,"When Tenri and Rudi make coverage to Panggala Village (Toraja), Rudi finds a necklace in a place that resembles the rest of a destroyed building. At that moment, Veronica appears and then becomes acquainted. Their friendship continues when Tenri returns to the city. Since then, Carla, Tenri's boss, has been experiencing strange and scary things. Their guess: the mysterious necklace Rudi found. Veronica brings Carla and Tenri to a mystical old house. Veronica tells the story of her childhood experience. When her father was about to be buried, her grandmother recited spells so that her father's corpse stood alone and walked to the grave that had been prepared. Horrific events continue. Rudi tries to get rid of the necklace, but the necklace is increasingly inseparable.","Drama, Horror",13+,3.6,8,Indonesia,Ekadi Katili,"['Iqbal Perdana', 'Yulinar Arief', 'Aga Dirgantara', 'Debby Astuti', 'Fifit Yani']",79 min
960762,27,DJS the Movie Biarkan Aku Menari,2022,"In life of Wulan, she only wanted to be a dancer. When his father, Lukman and his brother, Satria were still alive, they were the ones who always supported Wulan's ideals. But now they are dead, and Wulan only lives with her mother, Linda.","Drama, Fantasy",13+,7.2,25,Indonesia,Indrayanto Kurniawan,"['Sandrinna Michelle', 'Rey Bong', 'Emiliano Fernando Cortizo','Safira Ratu Sofya'] ",104 min
954659,28,Oma: The Demonic,2022,"Due to conflicts with her mother, Fiona has not visited Grandma for long. The constant nightmare forced her to go there with her two friends, Luna and Jeff. However, mysterious things end in a threat to their lives.",Horror,17+,3.3,10,Indonesia,Joel Fadly,"['Jajang C. Noer', 'Karina Nadila', 'Syahra Larez', 'Diah Permatasari', 'Bobby Rizky'] ",85 min
954057,29,Sang Saudagar #TabePuang,2022,Andi Hatta hired a private detective after hearing the news that his fabric company had illegal treasures that were deliberately hidden.,"Comedy, Crime",13+,0,0,Indonesia,Asril Sani,"['Ikram Noer', 'Reza Pahlevi', 'Fitry Laluna', 'Indah Noyha', 'Uya Mahmud'] ",91 min
638985,30,KKN di Desa Penari,2022,Six students who had to carry out KKN in a remote village are warned not to cross the boundary of the forbidden gate that leading to the mysterious place that may related to the figure of a beautiful dancer who began to disturb them.,"Horror, Mystery",17+,6,1800,Indonesia,Awi Suryadi,"['Tissa Biani', 'Adinda Thomas', 'Achmad Megantara', 'Aghniny Haque', 'Calvin Jeremy', 'Fajar Nugra'] ",130 min
949909,31,Kuntilanak 3,2022,"Dinda, who is considered strange by the village children because of her strength, accidentally injures Panji and Ambar. She regrets and asks Aunt Donna to register her at the Mata Hati School, so that she can learn to control her power.","Adventure, Fantasy, Horror",13+,4.3,134,Indonesia,Rizal Mantovani,"['Nicole Rossi', 'Andryan Bima', 'Ali Fikry', 'Adlu Fahrezy', 'Ciara Brosnan']",105 min
811736,32,Gara-Gara Warisan,2022,A dying widower gathers his kids to decide who will receive his inheritance. Past secrets are revealed until one is chosen to inherit everything.,"Comedy, Drama",13+,7.4,285,Indonesia,Muhadkly Acho,"['Oka Antara', 'Indah Permatasari', 'Ge Pamungkas', 'Yayu Unru', 'Ira Wibowo']",117 min
963802,33,Kambodja,2022,"Jakarta 1955. Danti, a librarian, and Bayu, a writer, live in the same boarding house with their respective partners. Their partners often leave them to become close because of their similarity of loneliness. When Danti decides to keep her distance from Bayu, she finds out that her husband, Sena, a party activist, has a relationship with Lastri, a singer and Bayu's wife.","Drama, Romance",17+,6.7,9,Indonesia,Rako Prijanto,"['Della Dartyan', 'Adipati Dolken', 'Revaldo', 'Carmela van der Kruk']",75 min
724080,34,Cinta Subuh,2022,"Angga, a student who rarely prays on time, falls in love with the intelligent and religious Ratih. Angga's uniqueness, sincerity, cheerfulness, and demeanor made Ratih want to open her heart.","Drama, Romance",13+,8.2,76,Indonesia,Indra Gunawan,"['Dinda Hauw', 'Rey Mbayang', 'Roger Danuarta', 'Cut Meyriska', 'Syakir Daulay', 'Adiba Khanza', 'Dimas Seto', 'Dhini Aminarti', 'Kemal Palevi']",112 min
924809,35,Srimulat: Hil yang Mustahal - Babak Pertama,2022,A biopic about Srimulat the first comedy group in Indonesia.,"Biography, Comedy, Drama ",13+,7.2,125,Indonesia,Fajar Nugros,"['Bio One', 'Elang El Gibran', 'Dimas Anggara', 'Ibnu Jamil', 'Teuku Rifnu Wikana', 'Erick Estrada', 'Zulfa Maharani', 'Morgan Oey', 'Rukman Rosadi', 'Erika Carlina', 'Indah Permatasar', 'Naimma Aljufri', 'Rano Karno']",110 min
972839,36,Kopi Pahit,2022,"Gendis and Joel, newlyweds, return from their honeymoon. They are quarantined at the hotel for seven days. Gendis is sensitive because of menstruation. Tasya, Joel's ex-lover, congratulates them on their marriage via DM, even though she intends to seduce Joel. It makes Gendis jealous that they make a fuss. For seven days in their hotel room, they face problems after problems that contrast with the atmosphere of their honeymoon in Switzerland.",Drama,17+,8.6,49,Indonesia,Herwin Novianto,"['Mahalini Raharja', 'Raja Giannuca', 'Natasya Rahmawati', 'Rino Octora', 'Agus Budi Raharja', 'Sixrion Anggoro', 'Dana Arianto', 'Annil Octiara Hab']",71 min
980525,37,Rasyah The Wonder Kid,2022,"Rasyah's dad's constantly changing work makes it hard to make friends. However, something was different after the rashah family moved to makassar. Rasyah found someone who became his friend and also turned out to be a great online gamer. The dilemma began when rasyah learned that he would soon leave his friend behind.",Drama,13+,0,0,Indonesia,Kemal Fathur,"['Rasyah Rasyid', 'Aqila Herby', 'Ayez Kassar', 'Cut Fitria', 'Lukman Nulhakim']",99 min
954911,38,The Doll 3,2022,"After being possessed by the spirit of her late brother, a wicked doll terrorizes a woman and her loved ones.","Horror, Thriller",17+,4.4,208,Indonesia,Rocky Soraya,"['Jessica Mila', 'Winky Wiryawan', 'Masayu Anastasia', 'Sara Wijayanto', 'Jeremy Thomas']",115 min
928607,39,Mengejar Surga,2022,"After more than 20 years, Atikah was told by her mother about her long-lost father to the Netherlands. With her best friend, she travels through Amsterdam in her quest to complete the podium for her future wedding.",Drama,13+,7.3,19,Indonesia,Bambang Drias,"['Jessica Mila', 'Al Ghazali', 'Kimberly Ryder', 'Jeremy Thomas', 'Delano Daniel', 'Endhita']",82 min
904689,40,Ngeri-Ngeri Sedap,2022,A married couple stages their divorce in order to encourage their estranged adult children to return to their hometown.,"Comedy, Drama",13+,8.1,1400,Indonesia,Bane Dion Rajagukguk,"['Arswendy Beningswara Nasution', 'Tika Panggabean', 'Boris Bokir Manullang', 'Gita Bhebhita Butar-butar', 'Lolox', 'Indra Jege']",114 min
667062,41,Satria Dewa: Gatotkaca,2022,"Legends collide as young Yuda wrestles with his newfound godlike powers, defending his world in an endless battle against ancient and powerful evils.","Action, Adventure, Drama",SU,6.4,630,Indonesia,Hanung Bramantyo,"['Rizky Nazar', 'Yasmin Napper', 'Ali Fikry', 'Omar Daniel', 'Edward Akbar', 'Sigi Wimala', 'Yati Surachman', 'Yayan Ruhian', 'Cecep Arif Rahman', 'Jerome Kurnia']",129 min
798840,42,Naga Naga Naga,2022,"Bonaga and Monita are a husband and wife who are enjoying their period of success. This time, they have to face the educational problems of their only daughter, Monaga, who was expelled from her school.","Comedy, Drama",13+,7.7,18,Indonesia,Deddy Mizwar,"['Deddy Mizwar', 'Cut Beby Tshabina', 'Tora Sudiro']",96 min
961570,43,Atas Nama Surga,2022,"Naya and Attar meet when they both lose their loved ones. The return of Salwa, Attar's old love, comes between them","Drama, Romance",13+,8,5,Indonesia,Adis Kayl Yurahmah,"['Della Dartyan', 'Miqdad Addausy', 'Amanda Rigby']",105 min
894693,44,My Sassy Girl,2022,"Gian, a young man saves Sisi, a woman who makes drunk, depressed and wants to kill herself at a train station at night. Their love story started from this","Comedy, Drama, Romance",13+,7.1,56,Indonesia,Fajar Bustomi,"['Jefri Nichol', 'Tiara Andini']",117 min
779890,45,Keluarga Cemara 2,2022,"While their parents strive to earn an honest living, three young daughters go through their own issues as they grow up","Drama, Family",13+,5.9,114,Indonesia,Ismail Basbeth,"['Ringgo Agus Rahman', 'Nirina Zubir', 'Adhisty Zara', 'Widuri Putri Sasono', 'Niloufer Bahalwan']",114 min
983767,46,Misi Kafe Biru,2022,"Naya, who has only known Ary for two weeks and is immediately proposed to by Ary, wants to find out what is behind this too hasty and somewhat suspicious proposal. Ary's closed attitude and lies to Naya worsen the situation, so Naya Is desperate to do drastic things to get the truth and peace, even though the relationship is at stake",Drama,13+,8.8,18,Indonesia,Hanny R.Saputra,"['Michelle Ziudith', 'Raja Giannuca', 'Aina Nisa', 'Nada Rahmah']",67 min
811747,47,Madu Murni,2022,"Mustaqim, a former Koran teacher, works as a debt collector in the hope of earning more. However, Murni, his wife.","Comedy, Drama",17+,8.2,13,Indonesia,Monty Tiwa,"['Irish Bella', 'Ammar Zoni', 'Aulia Sarah']",96 min
683407,48,Ghost Writer 2,2022,"Naya, a novelist and works as a screenwriter in a company. In the midst of trying to survive with hiss sister, Darto, Naya again has to face a ghost.","Comedy, Drama, Horror",13+,7.4,84,Indonesia,Muhadkly Acho,"['Tatjana Saphira', 'Deva Mahenra', 'Widyawati', 'Endy Arfian', 'Moh. Iqbal Sulaiman']",116 min
985383,49,The Sacred Riana 2: Bloody Mary,2022,"Riana, who has been in a slump since losing Riani, gets news that the doll is now in an Elodia female dormitory. Riana asks her parents to move schools to Elodia. Riana's request is immediately fulfilled by her parents, who hope that Riana can return to being as vibrant as before. However, Elodia's dormitory turns out to be very strict about the behavior of its students. They even put 100 mirrors in all the dormitory halls so that students who want to do bad things immediately cancel their intentions because they are embarrassed when they see themselves. The strictness of the rules creates pressure and a group of schoolgirls who enjoy playing a strange game using mirrors: the ritual of summoning the bloody mary with the new girls. The game, originally just a way to scare new students, turns into a disaster when a spirit appears trying to harm the students. Riani doll is considered to be the mastermind behind this disaster. Riana is trapped in a dilemma between bringing back the Riani doll or finding answers to the various terrors accused of the Riani doll.","Drama, Horror",13+,7.4,23,Indonesia,Billy Christian,"['The Sacred Riana', 'Brooklyn Alif Rea', 'Frislly Herlind', 'Aisyah Aqilah', 'Sharon Sahertian']",103 min
859933,50,Nana,2022,"Nana, a gentle, beautiful young woman, escapes a violent anti-communist purge. Afterwards she lives comfortably as the second wife of a rich Sundanese man but her past re-emerges in her dreams.","Drama, History",16+,6.7,348,Indonesia,Kamila Andini,"['Happy Salma', 'Laura Basuki', 'Arswendy Bening Swara', 'Ibnu Jamil']",103 min
950236,51,Sayap-Sayap Patah,2022,"When violence erupts at a detention center, a police officer combats armed prisoners - as his wife goes into labor without him. Inspired by real events","Drama, Thriller",13+,5.4,1400,Indonesia,Rudi Soedjarwo,"['Nicholas Saputra', 'Ariel Tatum']",110 min
846094,52,Inang,2022,"Wulan, a supermarket employee, was abandoned by her boyfriend after she got pregnant. She had to take care of the child she was carrying alone","Horror, Thriller",17+ ,6.6,142,Indonesia,Fajar Nugros,"['Naysilla Mirdad', 'Dimas Anggara', 'Rukman Rosadi', 'Lydia Kandou'] ",116 min
655293,53,Teman Tapi Menikah 2,2020,"Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",Biography,13+,6.5,120,Indonesian,Rako Prijanto,"['Adipati Dolken', 'Mawar Eva de Jongh', 'Vonny Cornellya', 'Sari Nila', 'Ivan Leonardy', 'Clay Gribble', 'Sarah Sechan', 'Jourdy Pranata', 'Tubagus Ali', 'Ravil Prasetya', 'Nagra Kautsar Pakusadewo', 'Canti Tachril', 'Thalia Basir', 'Sp Lili', 'Anna Tairas']",100 min
664797,54,4 Mantan,2020,"Sara, Airin, Rachel, and Amara were accidentally brought together after the death of their ex, Alex. All four received a letter saying that there was one killer among them.",Thriller,17+,6.4,8,Indonesian,Hanny Saputra,"['Ranty Maria', 'Jeff Smith', 'Melanie Berentz', 'Denira Wiraguna', 'Melayu Nicole', 'Cinta Brian', 'Delano Daniel', 'Denny Weller', 'Mario Wiericx', 'Wani Siregar', 'Gary M. Iskak', 'Akja Dethan', 'Ayu Dyah Pasha', nan, nan]",80 min
662726,55,Aku Tahu Kapan Kamu Mati,2020,"After apparent death, Siena is able to see signs that people will die. However, her friends did not believe in her abilities. Then, the sign appeared on her and those closest to her.",Horror,13+,5.4,17,Indonesian,Hadrah Daeng Ratu,"['Natasha Wilona', 'Ria Ricis', 'Al Ghazali', 'Fitria Rasyidi', 'Ryma Karimah', 'Sonia Alexa', 'Asri Welas', 'Cathrine Wilson', 'Opie Kumis', 'Adinda Halona', 'Elizabeth Christine', 'Daus Separo', 'Rita Nurmaliza', 'Anastasia Adamova', nan]",92 min
652623,56,Anak Garuda,2020,"Good Morning Indonesia, a school for poor orphans, invites seven children to become a team. But, jealousy and envy started because of the hidden love between them. They are sent to Europe without accompany, and the conflicts are exploded.",Adventure,13+,9.1,27,Indonesian,Faozan Rizal,"['Tissa Biani Azzahra', 'Violla Georgie', 'Ajil Ditto', 'Clairine Clay', 'Geraldy Krechoff', 'Rania Putri Sari', 'Rebecca Klopper', 'Kiki Narendra', 'Krisjiana Baharuddin', 'Rizky Mocil', 'Faradina Mufti', 'Laras Sardi', 'Fatih Unru', 'Iqbal Solaiman', 'Toran Waibro']",129 min
646458,57,Dignitate,2020,"Alfi (Al Ghazali) meets Alana (Caitlin Halderman), a new student at school. It turns out that they are in one class and sitting next to each other. Instead of getting along, they often argue because they both are stubborn.",Drama,17+,7.6,33,Indonesian,Fajar Nugros,"['Al Ghazali', 'Caitlin Halderman', 'Giorgino Abraham', 'Teuku Rizky Muhammad', 'Sophia Latjuba', 'Izabel Jahja', 'Budiman Sudjatmiko', 'Sonia Alyssa', 'Naimma Aljufri', 'Kiara Mckenna', 'Lania Fira', 'Kanneth Santana', 'Bramanta Sadhu', 'Dinda Kanyadewi', 'Mat Oil']",109 min
655832,58,Guru-Guru Gokil,2020,"When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching.",Comedy,13+,6.1,153,Indonesian,Sammaria Simanjuntak,"['Gading Marten', 'Boris Bokir', 'Kevin Ardilova', 'Ibnu Jamil', 'Shakira Jasmine', 'Faradina Mufti', 'Nikandro Mailangkay', 'Dian Sastrowardoyo', 'Arswendi Nasution', 'Asri Welas', 'Kiki Narendra', 'Jean Marais', 'Sri Hartini', 'Aimee Saras', 'Tony Merle']",101 min
668390,59,Hunter in the Blue Side of Manchester,2020,"This movie tells the story of Hanif Thamrin (Adipati Dolken) leaving his hometown and trying to pursue his dream to become the only Indonesian at that time who works in the biggest soccer league in the world, English Premier League.",Biography,13+,6.2,21,English,Rako Prijanto,"['Adipati Dolken', 'Ganindra Bimo', 'Vonny Cornellya', 'Donny Alamsyah', 'Eddie Addison', 'Luis Amália', 'Priscila Araujo', 'Juliana Barros', 'Sabean Bea', 'Kiera Bell', 'Jamie Buchanan', 'Maurice Byrne', 'Ian Frost', 'Milica Guceva', 'Yasmin Hodges']",90 min
652589,60,Janin,2020,"Randu (Reuben Elishama Hadju) and Dinar (Jill Gladys) are happy because Dinar conceives for the fourth month. However, their happiness slowly disappears when a middle-aged woman, Sukma (...",Horror,17+,6.1,7,Indonesian,Ook Budiyono,"['Jill Gladys', 'Reuben Elishama', 'Meriam Bellina', 'Arnold Leonard', 'Babe Cabita', 'Rhesa Putri', 'Richelle Georgette Skornicki', 'Regina Rengganis', 'Dayu Wijanto', nan, nan, nan, nan, nan, nan]",85 min
642666,61,Mangkujiwo,2020,A born of Kuntilanak from a Twin Mirror with her misery.,Horror,17+,5.9,67,Indonesian,Azhar Kinoi Lubis,"['Sujiwo Tejo', 'Yasamin Jasem', 'Asmara Abigail', 'Roy Marten', 'Karina Suwandhi', 'Djenar Maesa Ayu', 'Samuel Rizal', 'Septian Dwi Cahyo', 'Kedung Darma R.', 'Landung Simatupang', 'Merriel Jessica Tarihoran', 'Elang El Gibran', 'Marcus Hacquebord', 'Gogot Suryanto', 'Kukuh']",109 min
646696,62,Mariposa,2020,"Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold.",Drama,13+,8.5,54,Indonesian,Fajar Bustomi,"['Angga Yunanda', 'Adhisty Zara', 'Dannia Salsabila', 'Abun Sungkar', 'Junior Roberts', 'Syakir Daulay', 'Ariyo Wahab', 'Irgi Fahrezi', 'Ersa Mayori', 'Baim', 'Iszur Muchtar', 'Ruth Permatasari', 'Yudha Keling', 'Diaz Danar', 'Aris Nugraha']",117 min
632885,63,May the Devil Take You: Chapter Two,2020,"Two years after escaping from demonic terror, the young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening: the figure of darkness rises to take their lives.",Horror,17+,6.3,150,Indonesian,Timo Tjahjanto,"['Chelsea Islan', 'Widika Sidmore', 'Baskara Mahendra', 'Hadijah Shahab', 'Lutesha', 'Arya Vasco', 'Karina Salim', 'Shareefa Daanish', 'Karina Suwandhi', 'Ruth Marini']",110 min
642657,64,Milea,2020,Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.,Drama,13+,6.1,239,Indonesian,Pidi Baiq,"['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp', 'Happy Salma', 'Farhan', 'Yoriko Angeline', 'Debo Andryos', 'Zulfa Maharani', 'Gusti Rayhan', 'Omara N. Esteghlal', 'Giulio Parengkuan', 'Andovi Da Lopez', 'Jerome Kurnia', 'Tike Priatnakusumah']",102 min
